panel,k,alpha,mFixed,mCoarse,nFine,h,nDofs,epsProb,epsPrec,localBc,x0Type,seed,gmresIts,flag,relres,precRelres,elapsedSeconds,scaledNfine
table3_random_epsprec_0,80,NaN,4,4,716,0.00139664804469274,514089,0,0,impedance,random,20240528,27,0,7.25787494504789e-07,4.84086121813719e-07,25.5558081,0
table3_random_epsprec_0,80,NaN,8,8,720,0.00138888888888889,519841,0,0,impedance,random,20240528,50,0,8.09813028729121e-07,4.18164227250226e-07,38.7157713,0
table3_random_epsprec_0,80,NaN,16,16,720,0.00138888888888889,519841,0,0,impedance,random,20240528,100,1,2.09009390748336e-06,6.7700829012361e-07,75.6564778,0
table3_random_epsprec_0,100,NaN,4,4,1000,0.001,1002001,0,0,impedance,random,20240528,27,0,8.64266585548858e-07,5.7615326231979e-07,49.9312587,0
table3_random_epsprec_0,100,NaN,8,8,1000,0.001,1002001,0,0,impedance,random,20240528,50,0,8.68727452401179e-07,4.60854893271706e-07,77.1967964,0
table3_random_epsprec_0,100,NaN,16,16,1008,0.000992063492063492,1018081,0,0,impedance,random,20240528,96,0,9.88740288775777e-07,3.6810964308842e-07,143.4653381,0
table3_random_epsprec_0,120,NaN,4,4,1316,0.000759878419452888,1734489,0,0,impedance,random,20240528,27,0,7.9888044949438e-07,5.32263604280966e-07,93.560246,0
table3_random_epsprec_0,120,NaN,8,8,1312,0.00076219512195122,1723969,0,0,impedance,random,20240528,49,0,8.13245372041234e-07,4.3617810621349e-07,143.6067744,0
table3_random_epsprec_0,120,NaN,16,16,1312,0.00076219512195122,1723969,0,0,impedance,random,20240528,95,0,9.11227539887466e-07,3.65868114430225e-07,247.8213816,0
table3_random_epsprec_0,140,NaN,4,4,1656,0.000603864734299517,2745649,0,0,impedance,random,20240528,27,0,7.02558469822542e-07,4.69443421188967e-07,155.5867904,0
table3_random_epsprec_0,140,NaN,8,8,1656,0.000603864734299517,2745649,0,0,impedance,random,20240528,49,0,8.4367282337393e-07,4.53797655446451e-07,255.0661528,0
